Q,A,label
이번 월급도 부모님께 전부 드렸어.,부모님께 월급을 다 드렸군요. 부모님께서 달라고 하셨나요?,0
부모님은 내 월급을 다 본인들이 관리하기 원하셔.,부모님말고 사용자님이 원하는 것은 무엇인가요?,0
내가 버는 돈의 관리를 전적으로 내가 한다고 말씀드려야겠어.,부모님이 사용자님의 의견을 잘 수용해주면 좋겠네요.,0
최근에 많이 바쁘게 살고 있어.,최근 많이 바쁘시군요. 더 자세히 말씀해주실 수 있나요?,0
오늘 유난히 시간이 너무 빨리 흐른 것 같아.,시간이 빨리 흐르다니 오늘 하루는 어땠나요?,0
급한 약속이 생겨서 집에 늦게 갈 거 같아.,집에 늦게 가시는군요. 무슨 일이신가요?,0
펀드매니저하는 친구 아들한테 내 보험금 좀 맡겨볼까 봐.,보험금을 친구 아들에게 맡기시려고 하는군요.,0
젊을 때는 아내가 돈 쓰는 것 때문에 많이 싸웠는데 이제는 다 부질없는 것 같아.,아내 분께서 돈을 쓰시는 것에 관여할 마음이 줄어드셨군요.,0
일흔이 되도록 나는 늘 더 젊어지고 건강해지고 싶었어.,건강에 관심이 많으셨군요.,0
텔레비전에 나오는 연예인들은 나와 동갑인데도 건강하고 활력이 넘쳐.,연예인들의 모습이 많이 부러우시군요.,0
내일부터 일주일 동안 공휴일이라 푹 쉴 수 있을 것 같아. 너무 기분 좋다.,일주일 동안 공휴일이라 쉬시는군요. 어떻게 보낼 계획이세요?,0
내일 주말이라서 너무 행복해.,내일이 주말이군요. 주말에는 어떤 걸 하실 생각이신가요?,0
백화점에서 아내가 직원이 추천해준 물건을 손에 들고 내게 어떤 것 같냐고 물어보고 있어.,직원이 추천한 물건이 어떠냐는 아내의 말을 들으셨군요. 어떤 기분이신가요?,0
건강을 위해서 필라테스를 하려고 하는데 나랑 비슷한 또래도 할까?? 나이 들어서 주책이라고 하는 거 아닐지 부끄러워.,필라테스를 하려고 준비하시는군요.,0
이번에 찍은 위내시경 사진인데 너무 징그러워.,위내시경을 받으셨군요.,0
어제 건강관리 하라는 충고를 들었는데 꼭 그럴 필요 있을까 싶어.,지금은 건강을 관리하지 않아도 된다고 생각하시는군요.,0
퇴직금을 받으니 이제 남은 인생이 실감이 나네.,어떤 계획을 세우셨나요?,0
나는 매달 월세 받아서 별로 걱정이 없어.,건물에서 월세 받으세요?,0
자식들도 결혼했고 나는 이제 돈 쓸 일이 거의 없어.,노후 준비도 다 마련하셨나요?,0
건강을 챙기느라 빠짐없이 비타민을 먹고 있어.,꾸준히 건강을 위해 비타민을 드시는군요. 운동도 하고 계세요?,0
나에게는 이루고 싶은 꿈이 있어.,어떤 꿈을 가지고 있는지 궁금해요.,0
우리 집도 꼭 강아지를 키웠으면 좋겠는데 부모님은 아직 고민 중이셔.,강아지를 많이 좋아하시는 것 같아요.,0
나에게는 두 살 어린 여동생이 있어.,여동생이 있으시군요.,0
나 다음 주에 전학 가.,무슨 일로 전학 가세요?,0
12시 땡!,하루가 또 가네요.,0
1지망 학교 떨어졌어,위로해 드립니다.,0
3박4일 놀러가고 싶다,여행은 언제나 좋죠.,0
3박4일 정도 놀러가고 싶다,여행은 언제나 좋죠.,0
PPL 심하네,눈살이 찌푸려지죠.,0
SD카드 망가졌어,다시 새로 사는 게 마음 편해요.,0
SD카드 안돼,다시 새로 사는 게 마음 편해요.,0
SNS 맞팔 왜 안하지ㅠㅠ,잘 모르고 있을 수도 있어요.,0
SNS 시간낭비인 거 아는데 매일 하는 중,시간을 정하고 해보세요.,0
SNS 시간낭비인데 자꾸 보게됨,시간을 정하고 해보세요.,0
SNS보면 나만 빼고 다 행복해보여,자랑하는 자리니까요.,0
가끔 궁금해,그 사람도 그럴 거예요.,0
가끔 뭐하는지 궁금해,그 사람도 그럴 거예요.,0
가끔은 혼자인게 좋다,혼자를 즐기세요.,0
가난한 자의 설움,돈은 다시 들어올 거예요.,0
가만 있어도 땀난다,땀을 식혀주세요.,0
가상화폐 쫄딱 망함,어서 잊고 새출발 하세요.,0
가스불 켜고 나갔어,빨리 집에 돌아가서 끄고 나오세요.,0
가스불 켜놓고 나온거 같아,빨리 집에 돌아가서 끄고 나오세요.,0
가스비 너무 많이 나왔다.,다음 달에는 더 절약해봐요.,0
가스비 비싼데 감기 걸리겠어,따뜻하게 사세요!,0
가스비 장난 아님,다음 달에는 더 절약해봐요.,0
가장 확실한 건 뭘까?,가장 확실한 시간은 오늘이에요. 어제와 내일을 놓고 고민하느라 시간을 낭비하지 마세요.,0
가족 여행 가기로 했어,온 가족이 모두 마음에 드는 곳으로 가보세요.,0
가족 여행 고고,온 가족이 모두 마음에 드는 곳으로 가보세요.,0
가족 여행 어디로 가지?,온 가족이 모두 마음에 드는 곳으로 가보세요.,0
가족 있어?,"저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있어요",0
가족관계 알려 줘,"저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있어요",0
가족끼리 여행간다.,더 가까워질 기회가 되겠네요.,0
가족들 보고 싶어,저도요.,0
가족들이랑 서먹해,다들 바빠서 이야기할 시간이 부족했나봐요.,0
가족들이랑 서먹해졌어,다들 바빠서 이야기할 시간이 부족했나봐요.,0
가족들이랑 어디 가지?,온 가족이 모두 마음에 드는 곳으로 가보세요.,0
가족들이랑 여행 갈거야,좋은 생각이에요.,0
가족여행 가야지,더 가까워질 기회가 되겠네요.,0
가족이 누구야?,"저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있어요",0
가족이랑 여행 가려고,좋은 생각이에요.,0
가족한테 스트레스 풀었어,정말 후회할 습관이에요.,0
가출할까?,무모한 결정을 내리지 마세요.,0
가출해도 갈 데가 없어,선생님이나 기관에 연락해보세요.,0
간만에 떨리니까 좋더라,떨리는 감정은 그 자체로 소중해요.,0
간만에 쇼핑 중,득템했길 바라요.,0
간만에 휴식 중,휴식도 필요하죠.,0
간식 뭐 먹을까,단짠으로 두 개 사는게 진리죠.,0
간식 추천,단짠으로 두 개 사는게 진리죠.,0
간장치킨 시켜야지,맛있게 드세요.,0
간접흡연 싫어,저도 싫어요.,0
갈까 말까 고민 돼,가세요.,0
갈까 말까?,가세요.,0
감 말랭이 먹고 싶다.,맛있게 드세요.,0
감 말랭이 먹어야지,맛있게 드세요.,0
감기 같애,병원가세요.,0
감기 걸린 것 같아,이럴 때 잘 쉬는 게 중요해요.,0
감기 기운이 있어,이럴 때 잘 쉬는 게 중요해요.,0
감기 들 거 같애,이럴 때 잘 쉬는 게 중요해요.,0
감기가 오려나,따뜻하게 관리하세요.,0
감기약이 없어,병원가세요.,0
감기인거 같애,병원가세요.,0
감미로운 목소리 좋아,저도 듣고 싶네요.,0
감정이 쓰레기통처럼 엉망진창이야,자신을 더 사랑해주세요.,0
감정컨트롤을 못하겠어,그건 습관이에요.,0
감정컨트롤이 안돼,그건 습관이에요.,0
감히 나를 무시하는 애가 있어,콕 집어서 물어보세요.,0
갑자기 나쁜 생각이 막 들더라,좋은 생각만 하세요.,0
갑자기 눈물 나,마음이 아픈가요.,0
갑자기 물어봐서 당황했어,갑작스러웠나봐요.,0
갑자기 불편한 사이가 된 거 같아,관계의 변화가 왔나봅니다.,0
강렬한 첫인상 남겨야 하는데,처음 3초가 중요해요. 당신의 매력을 어필해보세요.,0
강아지 키우고 싶어,책임질 수 있을 때 키워 보세요.,0
강아지 키우고 싶은데 역시 안돼겠지,먼저 생활패턴을 살펴 보세요.,0
강아지 키울 수 있을까,먼저 생활패턴을 살펴 보세요.,0
강아지 키울까,책임질 수 있을 때 키워 보세요.,0
강원도 가서 살까?,아름다운 곳이죠.,0
같이 게임하자고 해도 되나?,안 될 것도 없죠.,0
같이 놀러갈 친구가 없어,혼자도 좋아요.,0
같이 먹었는데 나만 살찐 거 같아,연인은 살쪄도 잘 알아차리지 못하고 알아차려도 싫어하지 않을 거예요.,0
같이 수영장 가기로 했어,즐거운 시간 보내고 오세요!,0
같이 있으면 힘든데 붙잡고 싶어,질질 끌지 마세요.,0
같이 피씨방 가자고 해볼까?,말해보세요.,0
같이 할 수 있는 취미 생활 뭐 있을까,함께하면 서로를 더 많이 알게 될 거예요.,0
개강룩 입어볼까,개시해보세요.,0
개강옷 예쁘게 입어 볼까,개시해보세요.,0
개강이다,곧 방학이예요.,0
개강이라니,방학이 참 짧죠.,0
개같은 상황,벗어나는 게 좋겠네요.,0
개같이 되버렸어.,벗어나는 게 좋겠네요.,0
개기름 꼈어,세수하고 오세요.,0
개념도 놓고 옴,그게 제일 중요한 건데요.,0
개념이 없어,그게 제일 중요한 건데요.,0
개당황,다음부터는 더 많이 아세요.,0
개당황했잖아 갑자기 물어 봐서,갑작스러웠나봐요.,0
개인적인 업무까지 다 시켜,공적인 일부터 하세요.,0
